,Code,Title,ParentDimension,Dimension,ParentCode,ParentTitle
1,ABW,Aruba,REGION,COUNTRY,AMR,Americas
2,AFG,Afghanistan,REGION,COUNTRY,EMR,Eastern Mediterranean
3,AGO,Angola,REGION,COUNTRY,AFR,Africa
4,AIA,Anguilla,REGION,COUNTRY,AMR,Americas
5,ALB,Albania,REGION,COUNTRY,EUR,Europe
6,AND,Andorra,REGION,COUNTRY,EUR,Europe
7,ARE,United Arab Emirates,REGION,COUNTRY,EMR,Eastern Mediterranean
8,ARG,Argentina,REGION,COUNTRY,AMR,Americas
9,ARM,Armenia,REGION,COUNTRY,EUR,Europe
10,ASM,American Samoa,REGION,COUNTRY,WPR,Western Pacific
11,ATG,Antigua and Barbuda,REGION,COUNTRY,AMR,Americas
12,AUS,Australia,REGION,COUNTRY,WPR,Western Pacific
13,AUT,Austria,REGION,COUNTRY,EUR,Europe
14,AZE,Azerbaijan,REGION,COUNTRY,EUR,Europe
15,BDI,Burundi,REGION,COUNTRY,AFR,Africa
16,BEL,Belgium,REGION,COUNTRY,EUR,Europe
17,BEN,Benin,REGION,COUNTRY,AFR,Africa
18,BES,"Bonaire, Saint Eustatius and Saba",REGION,COUNTRY,AMR,Americas
19,BFA,Burkina Faso,REGION,COUNTRY,AFR,Africa
20,BGD,Bangladesh,REGION,COUNTRY,SEAR,South-East Asia
21,BGR,Bulgaria,REGION,COUNTRY,EUR,Europe
22,BHR,Bahrain,REGION,COUNTRY,EMR,Eastern Mediterranean
23,BHS,Bahamas,REGION,COUNTRY,AMR,Americas
24,BIH,Bosnia and Herzegovina,REGION,COUNTRY,EUR,Europe
25,BLR,Belarus,REGION,COUNTRY,EUR,Europe
26,BLZ,Belize,REGION,COUNTRY,AMR,Americas
27,BMU,Bermuda,REGION,COUNTRY,AMR,Americas
28,BOL,Bolivia (Plurinational State of),REGION,COUNTRY,AMR,Americas
29,BRA,Brazil,REGION,COUNTRY,AMR,Americas
30,BRB,Barbados,REGION,COUNTRY,AMR,Americas
31,BRN,Brunei Darussalam,REGION,COUNTRY,WPR,Western Pacific
32,BTN,Bhutan,REGION,COUNTRY,SEAR,South-East Asia
33,BWA,Botswana,REGION,COUNTRY,AFR,Africa
34,CAF,Central African Republic,REGION,COUNTRY,AFR,Africa
35,CAN,Canada,REGION,COUNTRY,AMR,Americas
36,CHE,Switzerland,REGION,COUNTRY,EUR,Europe
37,CHI,Channel islands,NA,COUNTRY,NA,NA
38,CHL,Chile,REGION,COUNTRY,AMR,Americas
39,CHN,China,REGION,COUNTRY,WPR,Western Pacific
40,CIV,Cote d'Ivoire,REGION,COUNTRY,AFR,Africa
41,CMR,Cameroon,REGION,COUNTRY,AFR,Africa
42,COD,Democratic Republic of the Congo,REGION,COUNTRY,AFR,Africa
43,COG,Congo,REGION,COUNTRY,AFR,Africa
44,COK,Cook Islands,REGION,COUNTRY,WPR,Western Pacific
45,COL,Colombia,REGION,COUNTRY,AMR,Americas
46,COM,Comoros,REGION,COUNTRY,AFR,Africa
47,CPV,Cabo Verde,REGION,COUNTRY,AFR,Africa
48,CRI,Costa Rica,REGION,COUNTRY,AMR,Americas
49,CUB,Cuba,REGION,COUNTRY,AMR,Americas
50,CUW,Curaçao,REGION,COUNTRY,AMR,Americas
51,CYM,Cayman Islands,REGION,COUNTRY,AMR,Americas
52,CYP,Cyprus,REGION,COUNTRY,EUR,Europe
53,CZE,Czechia,REGION,COUNTRY,EUR,Europe
54,DEU,Germany,REGION,COUNTRY,EUR,Europe
55,DJI,Djibouti,REGION,COUNTRY,EMR,Eastern Mediterranean
56,DMA,Dominica,REGION,COUNTRY,AMR,Americas
57,DNK,Denmark,REGION,COUNTRY,EUR,Europe
58,DOM,Dominican Republic,REGION,COUNTRY,AMR,Americas
59,DZA,Algeria,REGION,COUNTRY,AFR,Africa
60,ECU,Ecuador,REGION,COUNTRY,AMR,Americas
