"","Index","Variant","country","Location code","iso3","iso2","Type","Parent code","year","totalpop_jan","totalpop_jul","m49code_"
"1",74,"Estimates","World",900,NA,NA,"World",0,2023,"8056505.564","8091734.93","900"
"2",149,"Estimates","Sub-Saharan Africa",1834,NA,NA,"SDG region",1828,2023,"1196738.277","1212229.42","1834"
"3",223,"Estimates","Northern Africa and Western Asia",1833,NA,NA,"SDG region",1828,2023,"568040.469","572506.537","1833"
"4",297,"Estimates","Central and Southern Asia",1831,NA,NA,"SDG region",1828,2023,"2112791.911","2123893.323","1831"
"5",371,"Estimates","Eastern and South-Eastern Asia",1832,NA,NA,"SDG region",1828,2023,"2349572.733","2350145.73","1832"
"6",445,"Estimates","Latin America and the Caribbean",1830,NA,NA,"SDG region",1828,2023,"656575.828","658891.517","1830"
"7",519,"Estimates","Oceania (excluding Australia and New Zealand)",1835,NA,NA,"SDG region",1828,2023,"13827.509","13938.827","1835"
"8",593,"Estimates","Australia/New Zealand",1836,NA,NA,"SDG region",1828,2023,"31472.159","31623.96","1836"
"9",667,"Estimates","Europe and Northern America",1829,NA,NA,"SDG region",1828,2023,"1127486.678","1128505.616","1829"
"10",741,"Estimates","Europe, Northern America, Australia, and New Zealand",5502,NA,NA,"SDG region",1828,2023,"1158958.837","1160129.576","5502"
"11",816,"Estimates","More developed regions",901,NA,NA,"Development Group",1803,2023,"1283629.551","1284500.522","901"
"12",890,"Estimates","Less developed regions",902,NA,NA,"Development Group",1803,2023,"6772876.013","6807234.407","902"
"13",964,"Estimates","Least developed countries",941,NA,NA,"Development Group",902,2023,"1147676.012","1161055.55","941"
"14",1038,"Estimates","Less developed regions, excluding least developed countries",934,NA,NA,"Development Group",902,2023,"5625200.001","5646178.857","934"
"15",1112,"Estimates","Less developed regions, excluding China",948,NA,NA,"Development Group",1803,2023,"5317083.718","5353175.684","948"
"16",1186,"Estimates","Land-locked Developing Countries (LLDC)",1636,NA,NA,"Special other",1803,2023,"572243.875","579184.961","1636"
"17",1260,"Estimates","LLDC: Africa",2087,NA,NA,"Special other",1636,2023,"372653.688","378093.335","2087"
"18",1334,"Estimates","LLDC: Asia",2088,NA,NA,"Special other",1636,2023,"175712.351","177104.448","2088"
"19",1408,"Estimates","LLDC: Europe",2089,NA,NA,"Special other",1636,2023,"4916.815","4898.872","2089"
"20",1482,"Estimates","LLDC: Latin America",2090,NA,NA,"Special other",1636,2023,"18961.021","19088.305","2090"
"21",1556,"Estimates","Small Island Developing States (SIDS)",1637,NA,NA,"Special other",1803,2023,"72605.43","72894.707","1637"
"22",1630,"Estimates","SIDS Caribbean",2091,NA,NA,"Special other",1637,2023,"46001.46","46111.812","2091"
"23",1704,"Estimates","SIDS Pacific",2092,NA,NA,"Special other",1637,2023,"15190.593","15309.345","2092"
"24",1778,"Estimates","SIDS Atlantic, Indian Ocean and South China Sea (AIS)",2093,NA,NA,"Special other",1637,2023,"11413.377","11473.55","2093"
"25",1853,"Estimates","High-and-upper-middle-income countries",5503,NA,NA,"Income Group",1802,2023,"4067374.584","4072464.553","5503"
"26",1927,"Estimates","Low-and-Lower-middle-income countries",5504,NA,NA,"Income Group",1802,2023,"3959841.078","3989925.48","5504"
"27",2001,"Estimates","High-income countries",1503,NA,NA,"Income Group",1802,2023,"1258715.498","1261155.608","1503"
"28",2075,"Estimates","Low-and-middle-income countries",1859,NA,NA,"Income Group",1802,2023,"6768500.164","6801234.425","1859"
"29",2149,"Estimates","Middle-income countries",1517,NA,NA,"Income Group",1802,2023,"6042095.367","6064768.029","1517"
"30",2223,"Estimates","Upper-middle-income countries",1502,NA,NA,"Income Group",1517,2023,"2808659.086","2811308.945","1502"
"31",2297,"Estimates","Lower-middle-income countries",1501,NA,NA,"Income Group",1517,2023,"3233436.281","3253459.083","1501"
"32",2371,"Estimates","Low-income countries",1500,NA,NA,"Income Group",1802,2023,"726404.797","736466.397","1500"
"33",2445,"Estimates","No income group available",1518,NA,NA,"Income Group",1802,2023,"28912.625","28968.38","1518"
"34",2520,"Estimates","Africa",903,NA,NA,"Region",1840,2023,"1463627.143","1480770.525","903"
"35",2594,"Estimates","Eastern Africa",910,NA,NA,"Subregion",903,2023,"481376.957","487857.331","910"
"36",2668,"Estimates","Burundi",108,NA,NA,"Country/Area",910,2023,"13503.998","13689.45","108"
"37",2742,"Estimates","Comoros",174,NA,NA,"Country/Area",910,2023,"842.267","850.387","174"
"38",2816,"Estimates","Djibouti",262,NA,NA,"Country/Area",910,2023,"1145.015","1152.944","262"
"39",2890,"Estimates","Eritrea",232,NA,NA,"Country/Area",910,2023,"3438.999","3470.39","232"
"40",2964,"Estimates","Ethiopia",231,NA,NA,"Country/Area",910,2023,"127028.36","128691.692","231"
"41",3038,"Estimates","Kenya",404,NA,NA,"Country/Area",910,2023,"54793.511","55339.003","404"
"42",3112,"Estimates","Madagascar",450,NA,NA,"Country/Area",910,2023,"30813.475","31195.932","450"
"43",3186,"Estimates","Malawi",454,NA,NA,"Country/Area",910,2023,"20832.833","21104.482","454"
"44",3260,"Estimates","Mauritius",480,NA,NA,"Country/Area",910,2023,"1274.659","1273.588","480"
"45",3334,"Estimates","Mayotte",175,NA,NA,"Country/Area",910,2023,"310.779","316.015","175"
"46",3408,"Estimates","Mozambique",508,NA,NA,"Country/Area",910,2023,"33140.626","33635.16","508"
"47",3482,"Estimates","Réunion",638,NA,NA,"Country/Area",910,2023,"873.091","874.883","638"
"48",3556,"Estimates","Rwanda",646,NA,NA,"Country/Area",910,2023,"13802.596","13954.471","646"
"49",3630,"Estimates","Seychelles",690,NA,NA,"Country/Area",910,2023,"126.694","127.951","690"
"50",3704,"Estimates","Somalia",706,NA,NA,"Country/Area",910,2023,"18031.404","18358.615","706"
"51",3778,"Estimates","South Sudan",728,NA,NA,"Country/Area",910,2023,"11146.895","11483.374","728"
"52",3852,"Estimates","Uganda",800,NA,NA,"Country/Area",910,2023,"47981.11","48656.601","800"
